car_id,customer_name,gender,annual_income,dealer_name,company,model,engine,transmission,color,price_usd,dealer_no,body_style,phone,dealer_region,sale_date,sale_month,sale_day,sale_year
C_CND_019945,Lucas,Male,13500,"Buddy Storbeck's Diesel Service Inc",Chevrolet,Prizm,"Overhead Camshaft",Manual,Black,27000,06457-3834,Hardtop,6002071,Middletown,2023-10-27,10,27,2023
C_CND_019241,John,Male,2100000,"Buddy Storbeck's Diesel Service Inc",Saturn,SC,"Double  Overhead Camshaft",Auto,Black,33000,06457-3834,Hardtop,6002881,Middletown,2023-10-03,10,3,2023
C_CND_006897,Aiden,Female,13500,"Buddy Storbeck's Diesel Service Inc",Nissan,Frontier,"Double  Overhead Camshaft",Auto,"Pale White",26000,06457-3834,Hatchback,6010393,Middletown,2022-10-12,10,12,2022
C_CND_010413,Damian,Male,170000,"Buddy Storbeck's Diesel Service Inc",Volvo,C70,"Overhead Camshaft",Manual,Black,17000,06457-3834,Hatchback,6029174,Aurora,2022-12-25,12,25,2022
C_CND_008777,Moises,Male,766000,"Buddy Storbeck's Diesel Service Inc",BMW,328i,"Double  Overhead Camshaft",Auto,Black,18001,06457-3834,Sedan,6029464,Middletown,2022-11-27,11,27,2022
C_CND_002150,Caden,Male,1530000,"Buddy Storbeck's Diesel Service Inc",Ford,Taurus,"Overhead Camshaft",Manual,Black,43000,06457-3834,SUV,6035917,Middletown,2022-05-01,5,1,2022
C_CND_010983,Carmelo,Male,13500,"Buddy Storbeck's Diesel Service Inc",Toyota,Celica,"Double  Overhead Camshaft",Auto,"Pale White",31000,06457-3834,SUV,6042122,Middletown,2023-01-23,1,23,2023
C_CND_012228,Anaya,Female,3500000,"Buddy Storbeck's Diesel Service Inc",Audi,A6,"Double  Overhead Camshaft",Auto,"Pale White",42000,06457-3834,SUV,6042168,Middletown,2023-03-24,3,24,2023
C_CND_020033,Elliot,Male,555000,"Buddy Storbeck's Diesel Service Inc",Ford,Expedition,"Overhead Camshaft",Manual,Black,18000,06457-3834,SUV,6048080,Middletown,2023-10-28,10,28,2023
C_CND_017855,Grace,Male,13500,"Buddy Storbeck's Diesel Service Inc",Mercedes-B,C-Class,"Overhead Camshaft",Manual,"Pale White",17000,06457-3834,Hatchback,6048129,Janesville,2023-09-05,9,5,2023
C_CND_003301,Jimena,Male,772000,"Buddy Storbeck's Diesel Service Inc",Saab,3-Sep,"Double  Overhead Camshaft",Auto,Red,69000,06457-3834,Sedan,6052476,Middletown,2022-06-18,6,18,2022
C_CND_018596,Katie,Male,1635000,"Buddy Storbeck's Diesel Service Inc",Pontiac,Bonneville,"Overhead Camshaft",Manual,Red,11500,06457-3834,Hatchback,6056625,Janesville,2023-09-19,9,19,2023
C_CND_002518,Kevin,Female,385000,"Buddy Storbeck's Diesel Service Inc",Buick,Regal,"Double  Overhead Camshaft",Auto,Black,19000,06457-3834,Passenger,6061952,Middletown,2022-05-17,5,17,2022
C_CND_001522,Emma,Male,1640000,"Buddy Storbeck's Diesel Service Inc",Chevrolet,Corvette,"Double  Overhead Camshaft",Auto,Red,35000,06457-3834,SUV,6080099,Middletown,2022-04-07,4,7,2022
C_CND_022881,Sophia,Male,13500,"Buddy Storbeck's Diesel Service Inc",Hyundai,Sonata,"Overhead Camshaft",Manual,Red,21000,06457-3834,SUV,6085607,Scottsdale,2023-12-11,12,11,2023
C_CND_015976,Arianna,Female,13500,"Buddy Storbeck's Diesel Service Inc",Honda,Civic,"Overhead Camshaft",Manual,Black,43000,06457-3834,Hatchback,6100179,Middletown,2023-07-18,7,18,2023
C_CND_008312,Anthony,Male,836000,"Buddy Storbeck's Diesel Service Inc",Porsche,"Carrera Coupe","Overhead Camshaft",Manual,Black,16001,06457-3834,Hatchback,6103320,Middletown,2022-11-20,11,20,2022
C_CND_023126,Victor,Male,1800000,"Buddy Storbeck's Diesel Service Inc",Dodge,Stratus,"Double  Overhead Camshaft",Auto,Red,31000,06457-3834,Hatchback,6105371,Middletown,2023-12-17,12,17,2023
C_CND_021617,Laura,Male,13500,"Buddy Storbeck's Diesel Service Inc",Audi,A6,"Overhead Camshaft",Manual,Black,85000,06457-3834,SUV,6122063,Middletown,2023-11-24,11,24,2023
C_CND_015091,Liliana,Female,434000,"Buddy Storbeck's Diesel Service Inc",Chrysler,300M,"Double  Overhead Camshaft",Auto,"Pale White",16000,06457-3834,SUV,6132895,Austin,2023-06-20,6,20,2023
C_CND_021112,Judith,Male,2400000,"Buddy Storbeck's Diesel Service Inc",Oldsmobile,Silhouette,"Overhead Camshaft",Manual,"Pale White",19001,06457-3834,Sedan,6134984,Middletown,2023-11-15,11,15,2023
